trial_id,learning_rate,conv1d_strides,conv1d_filters,hidden_units,input_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,loss,error_to_signal,val_loss,val_error_to_signal,prediction_time
0045,0.0019555682562668866,5,19,109,116,8,3,1,1,0.007687914650887251,0.0076874541118741035,0.0077187977731227875,0.0077207693830132484,149.2198386
0014,0.00015647109554538187,6,16,121,76,3,0,1,0,0.03420957550406456,0.03420625999569893,0.02836724929511547,0.02835964784026146,113.19145449999996
0016,0.0005668181079162232,9,23,54,72,8,3,1,1,0.014362050220370293,0.0143616097047925,0.013991591520607471,0.013987977989017963,47.13744750000001
0018,0.006605972694539624,6,12,100,140,8,0,0,0,0.005432287696748972,0.00543215312063694,0.005484167020767927,0.005484296474605799,141.53578500000003
0005,0.001810157689657075,9,15,119,131,8,3,1,1,0.007888657040894032,0.00788846891373396,0.007590897846966982,0.007591415196657181,74.32439040000008
0025,0.007322057994297387,9,13,105,138,8,3,1,1,0.006724261213093996,0.00672436598688364,0.006506074219942093,0.006508940830826759,66.44586949999984
0017,0.002953262609705247,6,24,55,138,8,0,0,0,0.006610217969864607,0.006610047072172165,0.0064611248672008514,0.0064610084518790245,83.7653972999999
0019,0.0006634068043893112,4,25,101,106,8,0,0,0,0.00912458822131157,0.009124739095568657,0.008947949856519699,0.008952139876782894,200.50211629999967
0047,0.0011695529042992335,5,17,52,123,8,0,0,0,0.008109643124043941,0.008109359070658684,0.008016390725970268,0.008019623346626759,79.69184859999996
0021,0.00022023203381828493,10,26,39,54,3,0,1,0,0.026228241622447968,0.026226183399558067,0.02306234836578369,0.02307034656405449,25.482417700000042
0022,0.00010579751249183485,9,19,115,146,3,0,1,0,0.06813507527112961,0.06812838464975357,0.05368465557694435,0.05369138717651367,72.88187760000028
0020,0.007322057994297387,9,13,105,138,3,0,1,0,0.007708930876106024,0.007708588615059853,0.007190500386059284,0.007187981624156237,90.86404740000012
0023,0.002803230389347176,9,20,92,139,3,0,1,0,0.008605829440057278,0.008605499751865864,0.007997827604413033,0.007999110035598278,58.01432539999996
0024,0.00856296003435503,10,12,102,123,3,0,1,0,0.008121205493807793,0.008121326565742493,0.007716665975749493,0.00772008066996932,59.38430400000016
